ngirim: kirim
fixxx : fix
ehh : lalu
eh : lalu
kereen : keren
okee : oke
bagussssss : bagus
syuka : suka
eheee : tertawa
bangettttt : sekali
hehehe : tertawa
pleasee : please
seenggak : paling tidak
anjlok : turun
lamabgt : lambat sekali
akunku : akun saya
pfftt : lelah
gakjelas : tidak jelas
gakbisa : tidak bisa
tawwa : tertawa
pelayaannya : pelayanannya
kecantikaaan : kecantikan
exp : expired
buluk : buruk
komplain : complain
gooood : good
mmmmaannttuuull : mantap
nggabisa : tidak bisa
freeongk : free ongkir
haruskan : seharusnya
ena : aman
gapaapa : tidak mengapa
nolak : tolak
pakek : pakai
kereeennnn : keren
parahhhh : parah
kepake : terpakai
gpernah : tidak pernah
dpake : dipakai
terosss : terus
tar : nanti
recomend : recommended
okey : oke
ha is : selesai
luuvv : love
apik : bagus
fitur2nya : fitur-fiturnya
dikirimkirim : dikirim
kalap : terbuka
whoaaa : wah
mending : seharusnya
produkny : produknya
tmpat : tempat
daleeem : dalam
kampret : sial
af : as fuck
bnyak : banyak
bis : bisa
dikit² : dikit-dikit
heuft : kecewa
kudu : harus
keseringan : terlalu sering
blajaaa : belanja
niih : nih
gooooddehhh : good
lalod : lambat
stelah : setelah
iyaaa : iya
baruuu : baru
muteerrr : mutar
duuh : kecewa
dafatar : daftar
lamban : lambat
koq : kok
hihi : tertawa
mlm2 : malam-malam
gitcu : seperti itu
smg : semoga
sttusnya : statusnya
bbrpa : beberapa
bgmn : bagaimana
goooood : good
reviews : review
susahnua : susah sekali
bangeet : sekali
unsername : username
psd : password
waw : wah
kocak : lucu
kebapa : mengapa
ihhh : ih
kepakeee : terpakai
iy : iya
diluk2 : sedikit-dikit
njalok : ingin
bihh : ih
bner : benar
w : saya
pembyaran : pembayaran
pembayarn : pembayaran
dikranjang : di keranjang
tolonf : tolong
sebelah : lainnya
shoopee : shopee
gaperlu : tidak perlu
sipp : oke
aplukasinya : aplikasi
gpp : tidak mengapa
gampamg : mudah
tay : kotoran
brmanfaat : bermanfaat
ehehhehehehe : tertawa
applikasi : aplikasi
lemoott : lambat
aslii : asli
dann : dan
ribetnya : sulitnya
beh : wah
marketplafe : marketplace
ahh : ah
enak2 : aman-aman
gara2 : sebab
emai : email
wowowwowo : wah
kutunggu2 : saya tunggu-tunggu
uhuyyy : asik
belanaj : belanja
xoxo : peluk cium
komplaint : complain
redem : hangus
passowrd : password
gabsbs : tidak bisa-bisa
kalikali : berkali-kali
respo : respon
kalii : kali
top : mantap
q : saya
jelek : buruk
sedihh : sedih
yeay : yes
naggung : tanggung
mf : maaf
sya : saya
stlah : setelah
kak : kakak
kenapaa : mengapa
siiih : sih
lemooooooot : lambat
iniii : ini
disendirikan : dipisahkan
boong : bohong
vouch : voucher
monangsss : menangis
makasiii : terima kasih
wooow : wah
brenti : berhenti
kesall : kesal
elah : ih
cobaa : coba
sdikit : sedikit
ayodong : ayo dong
likee : like
wkwkwk : tertawa
mantappu : mantap
dliat : dilihat
tlong : tolong
bya : nya
diteken : di tekan
trnyt : ternyata
bobrok : buruk
sistim : sistem
pilih2 : pilih-pilih
murahh : murah
close2 : close-close
keuar : keluar
gara² : sebab
diperbaikinlah : diperbaiki
bete : kesal
terussss : terus
belanjanyaaaa : belanjanya
yey : yes
hank : hang
vocer : voucher
ujung2ny : akhirnya
msih : masih
barang2 : barang-barang
asyik : asik
gabisaa : tidak bisa
kluar : keluar
gunainnya : menggunakannya
bgs2 : bagus-bagus
keluarr : keluar
gooood : good
cosmetik : kosmetik
sukaaak : suka
yeee : senang
thks : terima kasih
aplimasi : aplikasi
bgd : sekali
unk : untuk
mantab : mantap
bcs : because
huhuhuhuhuhuhu : sedih
ciwi2 : wanita
jni : ini
gbr : gambar
recoment : recommended
lemottttt : lambat
nh : ini
lemod : lambat
kangge : untuk
widiihhh : wah
kebangetan : terlalu
muantapppp : mantap
mantabb : mantap
hg : yang
wkwkw : tertawa
gemana : bagaimana
enakan : sangat nyaman
yeyy : senang
cosmetics : kosmetik
kerennn : keren
asikk : asik
kt : kita
eveeeerrr : ever
hrap : harap
thu2nya : tetap
penak : nyaman
nek : kalau
blonjo : belanja
neng : di
wae : saja
akeh : banyak
lowww : lho
yeeh : senang
yeaayyy : senang
diskon'an : diskonan
aaahhh : ah
eyke : saya
terrrr : ter
wahuiiii : wah
repot" : sulit
nye : nya
kg : tidak
rugihh : rugi
komplit : complete
gampng : mudah
tmbh : tambah
lemoot : lambat
hiiiks : sedih
mateng : matang
trnyata : ternyata
disni : disini
sndr : sendiri
banyk : banyak
yaaaa : ya
aplikasiny : aplikasi
susaaaah : sulit
aza : saja
spertinya : sepertinya
tba2 : tiba-tiba
dkk : dan kawan-kawan
atc : add to chart
hadeeehhhh : kecewa
ksl : kesal
semangattt : semangat
kesaaal : kesal
mw : ingin
sis : kakak
trua : terus
masukkin : masukkan
lemott : lambat
bgus : bagus
bagussssss : bagus
girlssss : girls
payang : payah
kekeranjang : di keranjang
huffft : kecewa
ckckckckckckck : kecewa
muak : malas
cumn : hanya
tap : tekan
min : admin
payaah : payah
banyakk : banyak
loo : lho
lemotttttttttttttttt : lambat
sprti : seperti
bngtt : sekali
malesin : membuat malas
bags : bagus
cape : lelah
lemooott : lambat
siihh : sih
updatetan : update
